id,popularity,original_title,cast,director,tagline,keywords,overview,genres,release_year
8094,0.522401,The Magdalene Sisters,Anne-Marie Duff|Nora-Jane Noone|Eileen Walsh|Mary Murray|Dorothy Duffy,Peter Mullan,In a place that defied belief their only hope was each other.,girls' boarding school|sexual harassment|punishment|irish|ireland,"Four women are given into the custody of the Magdalene sisterhood asylum to correct their sinful behavior: Crispina and Rose have given birth to a premarital child, Margaret got raped by her cousin and the orphan Bernadette had been repeatedly caught flirting with the boys. All have to work in a laundry under the strict supervision of the nuns, who break their wills through sadistic punishment.",Drama|Foreign,2002
10985,0.507987,The New Guy,DJ Qualls|Eliza Dushku|Zooey Deschanel|Lyle Lovett|Jerod Mixon,Ed Decter,A zero will rise.,prison|dual identity|identity|loser|high school,"Nerdy high school senior Dizzy Harrison has finally gotten lucky -- after purposely getting expelled, he takes lessons in 'badass cool' from a convict and enrolls at a new school. But can he keep up the ruse?",Comedy|Family,2002
2637,0.5076,The Mothman Prophecies,Richard Gere|Laura Linney|Will Patton|Bob Tracey|Debra Messing,Mark Pellington,What do you see?,dream|hallucination|alien life-form|tumor|hospital,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,Drama|Mystery|Thriller|Horror,2002
12224,0.50575,Dinotopia,Tyron Leitso|David Thewlis|Wentworth Miller|Katie Carr,Marco Brambilla,,island|dinosaur,"Carl and David, two boys flying a small aircraft over the ocean with their father, crash land near an uncharted island. The boys swim safely to shore, but their father unfortunately drowns in the crash. On their own, the brothers explore the island and soon discover it is not only inhabited by people, but by dinosaurs as well! While the place seems easy enough to get used to, the boys must find a way of returning to their home.",Action|Adventure|Family|Fantasy|Science Fiction,2002
11888,0.499307,Snow Dogs,James Coburn|SisqÃ³|Nichelle Nichols|Cuba Gooding Jr.|M. Emmet Walsh,Brian Levant,Get ready for mush hour!,adoption|log cabin|alaska|sled dogs,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",Adventure|Comedy|Family,2002
10712,0.49789,Far from Heaven,Julianne Moore|Dennis Quaid|Dennis Haysbert|Patricia Clarkson|Viola Davis,Todd Haynes,It's time to stop hiding from the truth.,black people|wife husband relationship|botanist|homosexuality,"In 1950s Connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world.",Drama|Romance,2002
14635,0.494021,The Rookie,Dennis Quaid|Rachel Griffiths|Beth Grant|Angus T. Jones|Brian Cox,John Lee Hancock,Sometimes dreams come back to life.,father-son relationship|baseball|sports team|sport|life's dream,"Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.",Drama|Family,2002
3132,0.485311,Bad Company,Anthony Hopkins|Chris Rock|Peter Stormare|Gabriel Macht|Kerry Washington,Joel Schumacher,Two Mismatched Partners. One Messed Up Case!,ambush|cia|assassin|nightclub|hustler,"When a Harvard-educated CIA agent is killed during an operation, the secret agency recruits his twin brother.",Action|Adventure|Comedy|Thriller,2002
14245,0.483137,Sniper 2,Tom Berenger|Bokeem Woodbine|Erika MarozsÃ¡n|TamÃ¡s PuskÃ¡s|Dan Butler,Craig R. Baxley,,blood splatter|betrayal|man hunt|rescue mission|duel,"Sergeant Thomas Beckett (Berenger) is back - and this time he has teamed up with death row inmate B.J. Cole (Woodbine) on a suicide mission to the Balkans. Their target: a rogue general accused of running ethnic cleansing missions. But when Becket discovers that the government is using him as a pawn in a bigger mission, the body count grows and bullets really start to fly.",Action,2002
4912,0.482312,Confessions of a Dangerous Mind,Sam Rockwell|Drew Barrymore|Julia Roberts|Rutger Hauer|Brad Pitt,George Clooney,Some things are better left top secret.,microfilm|biography|silencer|intrigue,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.",Comedy|Crime|Drama|Romance|Thriller,2002
